date,BTC,ETH,USDC
2020-03-05,9070.17,228.64,0.9974
2020-03-06,9158.51,245.56,0.9985
2020-03-07,8901.37,237.75,0.9995
2020-03-08,8037.76,199.46,1.0005
2020-03-09,7934.52,202.77,1.0015
2020-03-10,7894.68,200.50,0.9991
2020-03-11,7938.05,194.61,0.9992
2020-03-12,4857.10,110.30,0.9935
2020-03-13,5637.60,135.51,0.9968
2020-03-14,5165.25,122.17,1.0018
2020-03-15,5345.35,123.30,0.9984
2020-03-16,5037.61,111.38,0.9970
2020-03-17,5331.71,116.09,0.9966
2020-03-18,5413.64,118.60,0.9948
2020-03-19,6186.26,136.68,0.9971
2020-03-20,6206.10,133.27,1.0003
