date,BTC,ETH,USDC
2021-05-07,57380.39,3484.70,0.9981
2021-05-08,58958.05,3917.26,0.9993
2021-05-09,58312.57,3928.44,0.9988
2021-05-10,55866.41,3949.45,0.9989
2021-05-11,56753.19,4179.76,0.9984
2021-05-12,49498.77,3826.37,0.9992
2021-05-13,49690.11,3719.23,0.9984
2021-05-14,49893.48,4080.51,0.9993
2021-05-15,46775.51,3649.54,1.0007
2021-05-16,46450.79,3585.62,0.9996
2021-05-17,43580.50,3283.32,0.9991
2021-05-18,42857.15,3375.96,0.9970
2021-05-19,36731.75,2443.91,0.9977
2021-05-20,40623.33,2775.07,0.9977
2021-05-21,37340.77,2434.86,0.9986
2021-05-22,37476.83,2297.19,0.9997
2021-05-23,34758.67,2099.58,0.9983
2021-05-24,38878.56,2651.24,0.9985
